t_sec,label,x,y,z,vx,vy,vz,ax,ay,az
17.347378,default_config,-0.5149886608123779,0.47967633605003357,0.024654770269989967,0.08754098415374756,-0.22487685084342957,-0.06345675140619278,nan,nan,nan
17.349197,default_config,nan,nan,nan,nan,nan,nan,-0.14579437673091888,-1.0792983770370483,0.10358808934688568
17.397619,default_config,-0.503886878490448,0.4707244038581848,0.0213147085160017,0.09683653712272644,-0.2947891056537628,-0.012396604754030704,nan,nan,nan
17.398514,default_config,nan,nan,nan,nan,nan,nan,-0.17473435401916504,-1.022068738937378,0.08137481659650803
17.446561,default_config,-0.5039324164390564,0.46034300327301025,0.020807111635804176,0.05581347644329071,-0.37243369221687317,0.04287320002913475,nan,nan,nan
17.448565,default_config,nan,nan,nan,nan,nan,nan,-0.21118643879890442,-1.078752040863037,0.07305239886045456
17.497002,default_config,-0.5057026147842407,0.43974658846855164,0.02237311750650406,0.03334304317831993,-0.463665246963501,0.030078595504164696,nan,nan,nan
17.497905,default_config,nan,nan,nan,nan,nan,nan,-0.251302033662796,-1.061940312385559,0.07093318551778793
17.547460,default_config,-0.513244092464447,0.4174405336380005,0.02299187332391739,0.01867823116481304,-0.5473040342330933,0.02023262344300747,nan,nan,nan
17.548463,default_config,nan,nan,nan,nan,nan,nan,-0.06761274486780167,-0.935456395149231,0.07595962285995483
17.597416,default_config,-0.5119876861572266,0.39096158742904663,0.021311352029442787,0.05339398235082626,-0.6357928514480591,-0.03133683651685715,nan,nan,nan
17.598523,default_config,nan,nan,nan,nan,nan,nan,-0.22801819443702698,-1.1174489259719849,0.010125171393156052
17.646898,default_config,-0.5150801539421082,0.37039080262184143,0.02024839259684086,0.024263981729745865,-0.7295857071876526,-0.00438174931332469,nan,nan,nan
17.647888,default_config,nan,nan,nan,nan,nan,nan,-0.05303866043686867,-0.9405364394187927,0.010731328278779984
17.697064,default_config,-0.5172533392906189,0.33593714237213135,0.017964288592338562,0.03929499536752701,-0.8046805262565613,-0.058220840990543365,nan,nan,nan
17.698197,default_config,nan,nan,nan,nan,nan,nan,-0.11316091567277908,-1.0066030025482178,0.033204272389411926
17.746391,default_config,-0.5168763399124146,0.30061453580856323,0.015572836622595787,-0.008062942884862423,-0.8806701302528381,-0.02812056615948677,nan,nan,nan
17.748281,default_config,nan,nan,nan,nan,nan,nan,-0.17200353741645813,-1.0307444334030151,-0.062737837433815
17.796712,default_config,-0.5217654705047607,0.26663708686828613,0.01588011160492897,-0.01951475627720356,-0.9664880037307739,-0.041663073003292084,nan,nan,nan
17.797683,default_config,nan,nan,nan,nan,nan,nan,0.05862477049231529,-1.0214558839797974,-0.05501747503876686
17.847912,default_config,-0.5253283977508545,0.22117334604263306,0.014730717055499554,0.007881027646362782,-1.067810297012329,-0.04389036446809769,nan,nan,nan
17.848948,default_config,nan,nan,nan,nan,nan,nan,-0.04310394823551178,-1.0070551633834839,-0.011775651946663857
17.896903,default_config,-0.5255911946296692,0.1858118325471878,0.015090339817106724,-0.030524522066116333,-1.128080129623413,-0.032059524208307266,nan,nan,nan
17.897936,default_config,nan,nan,nan,nan,nan,nan,-0.10526950657367706,-1.0948402881622314,0.007382929790765047
17.947407,default_config,-0.5355876684188843,0.13427409529685974,0.01605776883661747,-0.07250567525625229,-1.203106164932251,-0.02213934436440468,nan,nan,nan
17.948453,default_config,nan,nan,nan,nan,nan,nan,0.06259936839342117,-0.8787047863006592,-0.028041666373610497
17.996754,default_config,-0.5374667048454285,0.09798159450292587,0.015708455815911293,-0.03403910994529724,-1.264237403869629,-0.06906604766845703,nan,nan,nan
17.997810,default_config,nan,nan,nan,nan,nan,nan,-0.0919756069779396,-1.0760564804077148,-0.018219441175460815
18.046949,default_config,-0.5378472208976746,0.04739398881793022,0.013983060605823994,-0.0632915049791336,-1.3385777473449707,-0.0491488054394722,nan,nan,nan
18.047919,default_config,nan,nan,nan,nan,nan,nan,-0.13171766698360443,-1.0686335563659668,0.020675627514719963
18.096936,default_config,-0.5342820882797241,-0.004978783428668976,0.01384966541081667,-0.059291526675224304,-1.3990750312805176,-0.05070998892188072,nan,nan,nan
18.097960,default_config,nan,nan,nan,nan,nan,nan,0.04378953576087952,-0.9230147004127502,-0.004528196062892675
18.147483,default_config,-0.5353007912635803,-0.06946664303541183,0.011719734407961369,-0.026747358962893486,-1.477230429649353,-0.08167219907045364,nan,nan,nan
18.148736,default_config,nan,nan,nan,nan,nan,nan,-0.08528518676757812,-1.1205304861068726,-0.12536895275115967
18.196472,default_config,-0.5414395332336426,-0.09836772084236145,0.014566240832209587,-0.07842671871185303,-1.5598299503326416,-0.03839055821299553,nan,nan,nan
18.197419,default_config,nan,nan,nan,nan,nan,nan,0.06188099831342697,-0.8677328824996948,-0.0801074355840683
18.246900,default_config,-0.5450769066810608,-0.16346432268619537,0.012149353511631489,-0.04479483142495155,-1.628050684928894,-0.11013390123844147,nan,nan,nan
18.247958,default_config,nan,nan,nan,nan,nan,nan,-0.07546480745077133,-0.9739989638328552,-0.06247802451252937
18.296464,default_config,-0.550376296043396,-0.21941208839416504,0.010873553343117237,-0.07566755264997482,-1.6823749542236328,-0.0831286609172821,nan,nan,nan
18.297401,default_config,nan,nan,nan,nan,nan,nan,-0.1332162320613861,-1.1659982204437256,-0.019469300284981728
18.347248,default_config,-0.5451234579086304,-0.2607724666595459,0.013625824823975563,-0.07868432253599167,-1.7188968658447266,-0.031042860820889473,nan,nan,nan
18.348154,default_config,nan,nan,nan,nan,nan,nan,0.03909541293978691,-1.0532169342041016,-0.10572440922260284
